city,counter,duration
München,85894,439.759936666119
Berlin,119851,280.00755104254426
FrankfurtamMain,18907,637.8137197863242
Köln,81409,345.2915156800863
Troisdorf,2994,1127.07147628590496
Bielefeld,2836,607.2954866008463
Freiburg,10614,675.068211795743
Aschaffenburg,3845,433.30013003901195
Trier,2204,812.3239564428306
Stuttgart,29858,566.7185009042818
Düsseldorf,3163,593.3838128359143
Bietigheim-Bissingen,586,876.6348122866891
Essen,6150,591.8315447154463
Hannover,7640,655.3081151832461
Ravensburg,634,661.7917981072557
Karlsruhe,7199,674.5770245867469
Ingolstadt,2203,538.4198819791196
Kaiserslautern,929,555.3230869849581
Mannheim,11104,646.3849963976957
Saarbrücken,3901,861.3888746475266
Duisburg,7653,523.8902391219102
Ulm,4238,779.168711656442
Fulda,2733,569.2564946944741
Schwerin,1961,780.6415094339625
Münster,2760,715.1101449275361
Rosenheim,1404,616.8504273504274
Mönchengladbach,507,884.4832347140041
Oberhausen,1124,584.8879003558718
Aachen,2125,652.1397647058822
Heidelberg,3412,450.2031066822976
Siegburg,4736,520.4030827702709
Friedrichshafen,1484,1022.089622641512
Osnabrück,1852,621.4832613390929
GarmischPartenkirchen,496,613.7721774193546
Hamm,1474,762.5868385346004
Jena,608,1017.98190789473693
Krefeld,928,596.1562499999999
Wuppertal,1703,588.6512037580743
Offenburg,2473,535.4609785685388
StIngbert,235,438.8638297872341
Heusweiler,47,978.9574468085107
Heilbronn,2388,873.2772194304855
Potsdam,3086,576.4740764743996
Hamburg,217,841.612903225807
LosheimamSee,92,1033.6195652173922
HomburgSaar,437,631.0640732265445
Ottweiler,54,915.7037037037037
Weimar,588,867.5323129251706
Mettlach,67,912.1940298507462
Erfurt,712,553.571629213484
Rostock,1246,829.8057784911713
Meckenbeuren,1334,959.216641679163
Hildesheim,721,439.3744798890429
Minden,749,618.9559412550063
MülheimRuhr,650,583.0646153846163
Ludwigsburg,888,425.5822072072063
Saarlouis,206,1072.2961165048537
Eisenach,491,1010.183299389002
Kleinblittersdorf,16,808.8125
StWendel,14,1116.4285714285713
Salem,270,1161.4481481481469
Dillingen,2,1282.5
FlughBerlin,13,52.76923076923077
Wadern,5,1142.8
Cottbus,528,715.0397727272724
Meschede,150,1122.2533333333333
Deggenhausertal,938,643.4349680170577
Panketal,10,724.9
Eriskirch,49,888.93877551021
Ludwigshafen,62,444.9032258064516
Bayreuth,80,1005.625
Markdorf,78,1020.269230769231
Leverkusen,76,588.157894736842
Bochum,20,1240.0
Leipzig,4,544.75
