city,0,1,2,3,4,5
Köln,346,3223,10716,16725,19346,31053
München,1021,10179,13096,15398,17143,29257
Fulda,4,154,286,599,640,1050
FrankfurtamMain,33,1011,2010,3704,3825,8324
Siegburg,42,548,980,965,878,1323
Offenburg,12,273,504,469,513,702
Schwerin,6,157,397,392,370,639
Mannheim,30,1372,2431,2284,1976,3011
Stuttgart,1044,2151,4816,6043,6841,8963
Ravensburg,2,194,364,74,0,0
Duisburg,65,687,1528,1608,1613,2152
Aschaffenburg,7,434,793,727,767,1117
Hamm,3,143,280,350,225,473
Aachen,8,250,472,407,318,670
Mönchengladbach,1,58,150,132,156,10
Ulm,11,377,665,865,999,1321
Karlsruhe,16,571,1410,1396,1258,2548
Berlin,406,3253,20318,24853,31656,39365
Heidelberg,8,378,756,683,586,1001
Freiburg,16,1266,1228,2233,2061,3810
Münster,13,255,567,665,504,756
Ingolstadt,4,198,434,442,439,686
Minden,4,44,139,170,153,239
Hildesheim,3,32,145,155,126,260
Rostock,2,142,255,229,288,330
Bielefeld,12,207,561,608,542,906
Trier,5,144,416,370,586,683
Krefeld,1,93,206,226,148,254
Essen,11,107,229,1324,1197,3282
Hannover,4,296,1084,1381,2147,2928
Potsdam,5,260,702,653,590,876
Rosenheim,8,38,304,336,291,427
Bietigheim-Bissingen,0,0,110,129,260,87
Saarbrücken,3,837,879,898,665,619
Wuppertal,2,396,425,315,324,241
Heilbronn,4,487,463,524,439,471
Osnabrück,1,432,361,353,401,304
Oberhausen,1,197,230,280,234,182
LosheimamSee,1,54,27,10,0,0
Weimar,0,150,149,131,78,80
Kaiserslautern,0,294,250,337,367,281
HomburgSaar,0,130,100,91,101,15
GarmischPartenkirchen,0,86,65,73,137,135
Düsseldorf,0,658,688,689,683,445
Saarlouis,0,76,79,51,0,0
Troisdorf,0,388,495,757,747,607
Friedrichshafen,0,147,262,176,508,391
Ludwigsburg,0,142,191,176,196,183
Eisenach,0,103,91,89,119,89
Erfurt,0,132,172,144,142,122
Jena,0,120,124,152,103,109
StIngbert,0,118,76,41,0,0
MülheimRuhr,0,120,120,135,103,172
Ottweiler,0,24,27,3,0,0
Heusweiler,0,17,15,15,0,0
Meckenbeuren,0,42,339,272,311,370
Hamburg,0,53,57,33,38,36
Mettlach,0,33,29,5,0,0
Dillingen,0,2,0,0,0,0
Kleinblittersdorf,0,11,5,0,0,0
FlughBerlin,0,6,7,0,0,0
StWendel,0,9,5,0,0,0
Panketal,0,2,2,4,2,0
Wadern,0,5,0,0,0,0
Salem,0,0,36,59,97,78
Meschede,0,0,19,36,42,53
Deggenhausertal,0,0,0,85,329,524
Cottbus,0,0,0,59,200,269
Eriskirch,0,0,0,12,26,11
Markdorf,0,0,0,0,51,27
Bayreuth,0,0,0,0,0,80
Ludwigshafen,0,0,0,0,0,62
Leverkusen,0,0,0,0,0,76
Leipzig,0,0,0,0,0,4
Bochum,0,0,0,0,0,20
